feature_id,coefficient
cg10573386,1.51601395431937
cg13560072,1.39584981650407
cg11084015,1.28348807560621
cg10321266,1.26216127268503
cg07597069,0.919146552562282
cg05218653,0.830123471253983
cg00077898,0.824606540402597
cg11207515,0.820809898634102
cg18392085,0.728251982770232
cg06088918,0.721915535464863
cg20077343,0.690528732826123
cg24169820,0.688289330339327
cg17833862,0.618940937140761
cg23079012,0.559433071836036
cg10696199,0.497231768660654
cg05442408,0.489234158197378
cg08038054,0.475085904756286
cg26775087,0.440183131156363
cg22371743,0.360668487907731
cg04136748,0.35369368680378
cg23288337,0.337801282271504
cg04561727,0.334184610360839
cg09648091,0.332646316109868
cg14142965,0.318849101643207
cg14708990,0.314720828134822
cg01558110,0.308366592259735
cg11704876,0.305392401821938
cg03616722,0.30309044516535
cg24714011,0.302953829275308
cg00231810,0.288636158083402
cg10506497,0.273628562683313
cg22872778,0.255026780225932
cg10752315,0.235468936251319
cg05609159,0.219465922533735
cg16595261,0.213776623521855
cg05852477,0.212553119121587
cg00585474,0.206675031811144
cg18881501,0.20541514919061
cg04834228,0.204354000907993
cg13914990,0.204187601517683
cg12205822,0.203213126304317
cg09462089,0.1853911927861
cg26394282,0.18139927722096
cg17479718,0.179810454064138
cg27222803,0.169928055431152
cg16395614,0.164037308964106
cg08189186,0.162036871578096
cg20037507,0.156930039949864
cg20543544,0.15201136593067
cg19770748,0.149597491284732
cg17201651,0.144176113403203
cg08376310,0.140730815649171
cg01518225,0.136160292639773
cg03984405,0.133474725311318
cg12486537,0.132074062034485
cg20811236,0.125638436688172
cg18050634,0.1232855695946
cg15235798,0.119097939936086
cg27305917,0.118889285501893
cg12723292,0.113167109217839
cg19033444,0.11115626590863
cg01933695,0.110594085756795
cg03423767,0.110054171230607
cg09341154,0.102111493569416
cg05168580,0.101745263215257
cg07894334,0.099996949505135
cg19920183,0.096750026091375
cg12945194,0.095026656221347
cg07933378,0.094453654009863
cg00145103,0.090226173768826
cg02229382,0.087363721152961
cg20012848,0.087114168805518
cg15043384,0.08525203044363
cg23279756,0.082644436761783
cg15939523,0.081502209339919
cg09359017,0.081298412319243
cg14250560,0.081180411980793
cg25037335,0.079886517906864
cg04418355,0.075576241352711
cg07520269,0.075096175734756
cg08926642,0.074059710171181
cg14532376,0.0737678683648
cg05720891,0.073547864463087
cg04060128,0.070584580043139
cg21357361,0.070482934519146
cg23294158,0.07042689407471
cg23657179,0.070371489160613
cg07708286,0.070324982316055
cg21476494,0.06769268084276
cg05634428,0.064628836776719
cg02981731,0.061286478192033
cg05251669,0.059771508182557
cg26644049,0.059587132944884
cg06530441,0.056338843367359
cg26047066,0.055514132389623
cg19850024,0.054378544296858
cg22709563,0.05289878402823
cg00449767,0.052168866736485
cg00340052,0.050752983773758
cg05857996,0.049945945369737
cg17221856,0.048961002938273
cg08363339,0.048094185379454
cg19863595,0.044167165749273
cg05265884,0.043978381739429
cg10090414,0.043891765791788
cg04191989,0.042146431089276
cg08896053,0.04177820749613
cg14752227,0.041628210173819
cg16204818,0.038678298644551
cg09776718,0.037943709859404
cg10143416,0.036272159246874
cg14294708,0.035981001376849
cg13953753,0.035348188840184
cg18336825,0.035287166649838
cg18153977,0.032426046298338
cg18568930,0.030747352855818
