feature_id,coefficient,ground_state
cg00043095,20408.163265306124,0.02
cg00347369,21052.631578947367,0.05
cg00397986,21052.631578947367,0.05
cg00466268,10526.315789473683,0.05
cg00884606,10101.0101010101,0.01
cg00916884,21052.631578947367,0.05
cg01435574,21052.631578947367,0.05
cg01537995,21052.631578947367,0.05
cg01587896,10309.278350515464,0.03
cg01699217,21052.631578947367,0.05
cg01783070,20833.333333333332,0.04
cg01830294,4000.0,0.0
cg02150988,10309.278350515464,0.03
cg02186542,21052.631578947367,0.05
cg02266732,20408.163265306124,0.02
cg02631468,21052.631578947367,0.05
cg02726121,20618.556701030928,0.03
cg02796545,10204.081632653062,0.02
cg02964724,21052.631578947367,0.05
cg03045635,4123.711340206186,0.03
cg03111498,10309.278350515464,0.03
cg03140968,20833.333333333332,0.04
cg03181582,21052.631578947367,0.05
cg03430846,21052.631578947367,0.05
cg03450948,10309.278350515464,0.03
cg03603951,20202.0202020202,0.01
cg03874199,20618.556701030928,0.03
cg04188273,102040.8163265306,0.02
cg04408488,20408.163265306124,0.02
cg04431946,20833.333333333332,0.04
cg04549460,103092.78350515464,0.03
cg04597433,10526.315789473683,0.05
cg04633225,20618.556701030928,0.03
cg04672706,20202.0202020202,0.01
cg04902729,20618.556701030928,0.03
cg04996219,103092.78350515464,0.03
cg05093169,10526.315789473683,0.05
cg05099387,10526.315789473683,0.05
cg05182249,20833.333333333332,0.04
cg05344430,104166.66666666666,0.04
cg05446424,20408.163265306124,0.02
cg05666607,20000.0,0.0
cg05886671,21052.631578947367,0.05
cg06469345,10416.666666666666,0.04
cg06672560,21052.631578947367,0.05
cg06987468,10526.315789473683,0.05
cg07195011,103092.78350515464,0.03
cg07315745,10101.0101010101,0.01
cg07357987,21052.631578947367,0.05
cg07557260,10309.278350515464,0.03
cg07621749,21052.631578947367,0.05
cg07897248,20833.333333333332,0.04
cg07950000,10526.315789473683,0.05
cg08073312,20408.163265306124,0.02
cg08074851,10101.0101010101,0.01
cg08448701,21052.631578947367,0.05
cg08530317,20833.333333333332,0.04
cg08834401,21052.631578947367,0.05
cg08961408,20000.0,0.0
cg09578028,20833.333333333332,0.04
cg10094616,20408.163265306124,0.02
cg10281002,21052.631578947367,0.05
cg10343742,4000.0,0.0
cg10406295,20408.163265306124,0.02
cg10824063,21052.631578947367,0.05
cg11334771,20618.556701030928,0.03
cg11354629,20833.333333333332,0.04
cg11723848,20202.0202020202,0.01
cg11848563,21052.631578947367,0.05
cg12071328,10309.278350515464,0.03
cg12180703,10416.666666666666,0.04
cg12417685,102040.8163265306,0.02
cg12743978,10526.315789473683,0.05
cg12882697,20618.556701030928,0.03
cg13078140,10204.081632653062,0.02
cg13177747,20833.333333333332,0.04
cg13281139,20833.333333333332,0.04
cg13368756,20202.0202020202,0.01
cg13526007,21052.631578947367,0.05
cg14456683,4210.526315789473,0.05
cg14473102,10309.278350515464,0.03
cg14717170,20618.556701030928,0.03
cg14769207,10526.315789473683,0.05
cg14834938,10204.081632653062,0.02
cg14991487,103092.78350515464,0.03
cg15119027,10309.278350515464,0.03
cg15186181,10416.666666666666,0.04
cg15237923,20833.333333333332,0.04
cg15272362,21052.631578947367,0.05
cg15493780,21052.631578947367,0.05
cg15984718,21052.631578947367,0.05
cg16023545,10526.315789473683,0.05
cg16033053,20833.333333333332,0.04
cg16523380,21052.631578947367,0.05
cg16800165,20202.0202020202,0.01
cg17037282,10526.315789473683,0.05
cg17076890,4000.0,0.0
cg17152757,20833.333333333332,0.04
